StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,ClientPlayerID
Quinton De Kock,170,3,0000-00-00,false,Overseas,203,2019-100mb00000000170-9429250944ae11,16,KKR,Kolkata Knight Riders,203,16,2019-100mb00000000170-9429250944ae11,3,10,102,69,25,147.82,36.23,2.76,4.60,70.58,2.31,44,28,1,0,9,6,2,1,102.00,1,0,0,97*,51.00,1,0,834
Nitish Rana,148,3,0000-00-00,false,Indian,203,2019-100mb00000000148-ef59629644a811,18,RR,Rajasthan Royals,203,18,2019-100mb00000000148-ef59629644a811,3,2,100,53,17,188.67,32.07,3.11,3.11,78.00,2.77,36,16,3,0,12,5,3,0,NA,1,0,0,81,33.33,0,0,2738
Sanju Samson,190,3,0000-00-00,true,Indian,203,2019-100mb00000000190-c62cbae544b711,18,RR,Rajasthan Royals,203,18,2019-100mb00000000190-c62cbae544b711,3,3,99,64,22,154.68,34.37,2.90,4.26,70.70,2.35,42,25,2,0,10,5,3,0,NA,1,0,0,66,33.00,0,0,258
Shreyas Iyer,12,1,0000-00-00,true,Indian,203,2018-100mb00000000012-ea4c47d2e99b11,15,PBKS,Punjab Kings,203,15,2018-100mb00000000012-ea4c47d2e99b11,1,4,97,42,9,230.95,21.42,4.66,3.00,76.28,2.93,33,15,4,0,5,9,0,1,97.00,1,0,0,97*,-,0,0,1563
Jos Buttler,182,2,0000-00-00,true,Overseas,203,2019-100mb00000000182-b78f12ef44b611,35,GT,Gujarat Titans,203,35,2019-100mb00000000182-b78f12ef44b611,2,1,93,57,14,163.15,24.56,4.07,4.75,58.06,2.16,43,23,8,0,9,3,2,0,NA,1,0,0,54,46.50,0,0,509
Heinrich Klaasen,202,3,0000-00-00,true,Overseas,203,2019-100mb00000000202-438eed6944ba11,20,SRH,Sunrisers Hyderabad,203,20,2019-100mb00000000202-438eed6944ba11,3,4,92,50,8,184.00,16.00,6.25,3.84,65.21,2.19,42,26,3,0,9,4,3,0,NA,0,0,0,34,30.67,1,0,3869
Virat Kohli,2,2,0000-00-00,true,Indian,203,2018-wicb00000000002-47ea5a6ae99a11,19,RCB,Royal Challengers Bengaluru,203,19,2018-wicb00000000002-47ea5a6ae99a11,2,3,90,66,18,136.36,27.27,3.66,6.60,53.33,1.87,48,34,4,0,6,4,1,1,90.00,1,0,0,59*,90.00,0,0,164
Phil Salt,1220,2,0000-00-00,true,Overseas,203,2022-100mb00000001220-372333e3f9f711,19,RCB,Royal Challengers Bengaluru,203,19,2022-100mb00000001220-372333e3f9f711,2,4,88,47,18,187.23,38.29,2.61,2.76,84.09,3.03,29,10,2,0,14,3,2,0,NA,1,0,0,56,44.00,3,0,5606
Rajat Patidar,597,2,0000-00-00,true,Indian,203,2021-100mb00000000597-a0edfee691e511,19,RCB,Royal Challengers Bengaluru,203,19,2021-100mb00000000597-a0edfee691e511,2,3,85,48,12,177.08,25.00,4.00,3.69,70.58,2.36,36,21,2,0,9,4,2,0,NA,1,0,0,51,42.50,0,0,5471
Ajinkya Rahane,44,3,0000-00-00,true,Indian,203,2018-100mb00000000044-e03a43dbf88a11,16,KKR,Kolkata Knight Riders,203,16,2018-100mb00000000044-e03a43dbf88a11,3,2,85,53,24,160.37,45.28,2.20,3.78,80.00,2.93,29,13,2,0,8,6,3,0,NA,1,0,0,56,28.33,2,0,135
